"id","cantidad","fecha_compra","cliente_id","producto_id"
"1","2","2023-11-02 22:46:22.000000","413","23"
"2","2","2023-11-04 22:47:39.000000","417","28"
"3","1","2023-11-15 22:49:27.000000","421","31"
"4","3","2023-11-18 22:49:59.000000","422","30"
"5","2","2023-11-25 22:51:16.000000","419","31"
"6","1","2023-11-28 22:52:26.000000","422","24"
"7","2","2023-11-29 22:52:57.000000","414","31"
"8","1","2023-11-30 22:53:20.000000","421","24"
"12428","1","2024-11-17 23:37:20.141886","1","24"
"12429","1","2024-11-17 23:39:10.121989","1","23"
"12430","1","2024-11-17 23:50:00.562128","1","23"
"12431","1","2024-11-17 23:51:31.299886","1","23"
"12432","1","2024-11-17 23:53:31.112887","1","24"
"12433","1","2024-11-17 23:56:07.267925","1","23"
"12434","1","2024-11-17 23:56:07.273910","1","24"
"12435","1","2024-11-18 01:06:46.657021","416","30"
"12436","1","2024-11-18 01:06:46.665997","416","23"
"12437","3","2024-11-18 01:07:58.763999","416","23"
"12438","2","2024-11-18 01:11:17.299864","417","24"
"12439","1","2024-11-18 01:11:17.306844","417","25"
"12440","1","2024-11-18 01:13:05.423250","417","28"
"12441","1","2024-11-18 01:13:05.429238","417","31"
"12442","1","2024-11-18 01:13:05.434791","417","24"
"12443","2","2024-11-18 01:15:09.245751","418","30"
"12444","1","2024-11-18 01:15:09.252061","418","23"
"12445","1","2024-11-18 01:17:33.373971","418","29"
"12446","1","2024-11-18 01:17:33.375697","418","25"
"12447","1","2024-11-18 01:19:54.172105","419","23"
"12448","1","2024-11-18 01:19:54.177346","419","30"
"12449","1","2024-11-18 01:19:54.180338","419","28"
"12450","2","2024-11-18 01:21:52.501530","419","31"
"12451","1","2024-11-18 01:21:52.504603","419","23"
"12452","1","2024-11-18 01:21:52.506601","419","30"
"12453","2","2024-11-18 01:24:23.461013","420","23"
"12454","3","2024-11-18 01:24:23.465982","420","24"
"12455","1","2024-11-18 01:24:23.467976","420","25"
"12456","3","2024-11-18 01:25:17.201662","420","29"
"12457","1","2024-11-18 01:25:17.204655","420","31"
"12458","4","2024-11-18 01:26:09.363191","420","23"
"12459","4","2024-11-18 01:28:09.665083","421","28"
"12460","5","2024-11-18 01:28:09.668699","421","30"
"12461","2","2024-11-18 01:28:09.670695","421","31"
"12462","2","2024-11-18 01:29:32.225362","421","24"
"12463","2","2024-11-18 01:29:32.231345","421","28"
"12464","1","2024-11-18 01:29:32.233340","421","29"
"12465","4","2024-11-18 01:35:20.295623","422","23"
"12466","3","2024-11-18 01:35:20.301614","422","25"
"12467","3","2024-11-18 01:35:20.305602","422","28"
"12468","2","2024-11-18 01:35:20.307597","422","30"
"12469","3","2024-11-18 01:36:34.332891","422","30"
"12470","1","2024-11-18 01:36:34.336881","422","31"
"12471","1","2024-11-18 12:21:03.549481","1","24"
"12472","1","2023-12-02 10:15:22.000000","413","23"
"12473","2","2023-12-05 12:47:39.000000","417","28"
"12474","1","2023-12-10 09:33:15.000000","421","31"
"12475","3","2023-12-15 15:20:40.000000","422","30"
"12476","2","2023-12-18 18:45:00.000000","419","24"
"12480","1","2024-01-03 16:20:15.000000","420","30"
"12481","2","2024-01-08 10:50:30.000000","422","31"
"12482","3","2024-01-12 09:40:05.000000","413","23"
"12483","1","2024-01-16 14:15:55.000000","417","24"
"12486","1","2024-01-28 18:10:45.000000","418","25"
"12487","1","2024-01-31 21:15:22.000000","414","29"
"12489","1","2024-02-07 13:15:33.000000","420","30"
"12490","3","2024-02-10 11:40:50.000000","421","28"
"12491","2","2024-02-14 09:30:00.000000","413","24"
"12492","1","2024-02-18 18:20:45.000000","422","29"
"12493","2","2024-02-21 12:45:50.000000","419","23"
"12494","1","2024-02-25 15:50:22.000000","417","25"
"12495","2","2024-02-28 20:25:10.000000","418","30"
"12496","3","2024-03-02 10:10:10.000000","414","23"
"12497","1","2024-03-06 09:20:33.000000","413","28"
"12498","2","2024-03-11 17:40:22.000000","416","31"
"12499","1","2024-03-15 16:35:10.000000","420","24"
"12500","2","2024-03-19 14:25:55.000000","421","30"
"12501","1","2024-03-23 08:10:40.000000","419","29"
"12502","3","2024-03-27 11:45:00.000000","417","31"
"12503","2","2024-03-30 19:20:10.000000","422","25"
"12504","1","2024-04-02 12:15:30.000000","421","23"
"12505","2","2024-04-06 10:45:22.000000","419","28"
"12506","3","2024-04-10 16:20:10.000000","416","30"
"12509","1","2024-04-23 09:10:55.000000","422","29"
"12510","2","2024-04-27 13:20:33.000000","413","25"
"12511","1","2024-04-30 15:15:22.000000","417","28"
"12512","2","2024-05-02 08:40:33.000000","418","24"
"12513","1","2024-05-06 10:20:15.000000","420","30"
"12514","3","2024-05-10 13:45:10.000000","413","31"
"12515","2","2024-05-14 16:15:33.000000","417","28"
"12516","1","2024-05-18 11:30:00.000000","419","29"
"12517","2","2024-05-22 14:10:22.000000","422","23"
"12518","3","2024-05-26 17:25:10.000000","421","25"
"12519","1","2024-05-30 20:50:40.000000","416","28"
"12520","2","2024-06-03 09:20:15.000000","420","24"
