"id","nom_libro","precio","stock","imagen","id_autor_id","id_genero_id"
"23","Allende","13000","13","https://drive.google.com/file/d/1PXuptMFtBoohtdF0ihFbUl-sMVBJW6Bt/view?usp=drivesdk","7","6"
"24","Diccionario","8000","5","https://drive.google.com/file/d/1sed2VtoNe850qDtkJDjQQD7oIu8_MMGx/view?usp=drivesdk","5","5"
"25","Los Juegos Del Hambre","27000","6","https://drive.google.com/file/d/1Dl3Sti5DznW0r1gZ-olD7wrl7NzlVghF/view?usp=drivesdk","2","3"
"28","Harry Potter y la piedra filosofal","29000","17","https://drive.google.com/file/d/1BvFWN9WqO7IVGJlOOpo8rISKhYXySekV/view?usp=drivesdk","4","2"
"29","Juego de Tronos","12000","6","https://drive.google.com/file/d/1NF5qTYeQguZYPgMmVGW5zwxMHfFQZxxi/view?usp=drivesdk","3","2"
"30","Anatomía Del Mal","25000","35","https://drive.google.com/file/d/1oalxLK73xbkFdP3Bhmg5E72bSjKkddLe/view?usp=drivesdk","9","4"
"31","La Teoría de la Relatividad","45000","13","https://drive.google.com/file/d/1YJmcNyChr-pouc1g1fJoPeYQO71Ha05S/view?usp=drivesdk","10","5"
"33","El día que se perdió la cordura","27000","30","https://drive.google.com/file/d/1YN4V7yOtLN8pWwNkliisOdlgxZIQPrlF/view?usp=drivesdk","13","2"
"34","La Magia de Pensar en Grande","11000","28","https://drive.google.com/file/d/1PVIVCe2p-LmdxyzBT_AIgWTwOtN22LlP/view?usp=drivesdk","14","4"
"35","Las doce puertas","17000","40","https://drive.google.com/file/d/11pXperWBzYFbwn1dlXMz9gVodAD6o2PJ/view?usp=drivesdk","15","2"
"36","Valentia 1","9900","30","https://drive.google.com/file/d/11ICV40XPgbdVeRRmkRbuQR72QqEMCju9/view?usp=drivesdk","16","2"
